Name,Address,Suburb,Postcode,State,Business Category,LGA,Region
Alpine Shire Council,Great Alpine Road,Bright,3741,VIC,Local Government,Alpine (S),Hume Region
Ararat Rural City Council,59 Vincent Street,Ararat,3377,VIC,Local Government,Ararat (RC),Grampians Region
Banyule City Council,275 Upper Heidelberg Road,Ivanhoe,3079,VIC,Local Government,Banyule (C),North and West Metropolitan Region
Bass Coast Shire Council,76 McBride Avenue,Wonthaggi,3995,VIC,Local Government,Bass Coast (S),Gippsland Region
Baw Baw Shire Council,Civic Place,Warragul,3820,VIC,Local Government,Baw Baw (S),Gippsland Region
Bayside City Council,76 Royal Avenue,Sandringham,3191,VIC,Local Government,Bayside (C),Southern Metropolitan Region
Benalla Rural City Council,Civic Centre,Benalla,3672,VIC,Local Government,Mansfield (S); Benalla (RC),Hume Region
Boroondara City Council,8 Inglesby Road,Camberwell,3124,VIC,Local Government,Boroondara (C),Eastern Metropolitan Region
Borough of Queenscliffe,50 Learmonth Street,Queenscliff,3225,VIC,Local Government,Queenscliffe (B),Barwon South Western Region
Brimbank City Council,Alexandra Avenue,Sunshine,3020,VIC,Local Government,Maribyrnong (C); Brimbank (C),North and West Metropolitan Region
Buloke Shire Council,367 Broadway,Wycheproof,3527,VIC,Local Government,Buloke (S),Loddon-Mallee Region
Cardinia Shire Council,Henty Way,Pakenham,3810,VIC,Local Government,Cardinia (S),Southern Metropolitan Region
Central Goldfields Shire Council,12-22 Nolan Street,Maryborough,3465,VIC,Local Government,Central Goldfields (S),Loddon-Mallee Region
City of Ballarat,The Phoenix,Ballarat,3350,VIC,Local Government,Ballarat (C),Grampians Region
City of Casey,Magid Drive,Narre Warren,3805,VIC,Local Government,Casey (C),Southern Metropolitan Region
City of Port Phillip,99a Carlisle Street,St Kilda,3182,VIC,Local Government,Port Phillip (C),Southern Metropolitan Region
City of Stonnington,Corner Glenferrie Road and High Street,Prahran,3181,VIC,Local Government,Stonnington (C); Melbourne (C),Southern Metropolitan Region
City of Wodonga,104 Hovell Street,Wodonga,3689,VIC,Local Government,Wodonga (RC),Hume Region
City of Yarra,333 Bridge Road,Richmond,3121,VIC,Local Government,Yarra (C),North and West Metropolitan Region
Colac-Otway Shire Council,2-6 Rae Street,Colac,3250,VIC,Local Government,Colac-Otway (S),Barwon South Western Region
Corangamite Shire Council,181 Manifold Street,Camperdown,3260,VIC,Local Government,Corangamite (S),Barwon South Western Region
Darebin City Council,274 Gower Street,Preston,3072,VIC,Local Government,Darebin (C),North and West Metropolitan Region
East Gippsland Shire Council,273 Main Street,Bairnsdale,3875,VIC,Local Government,East Gippsland (S),Gippsland Region
Frankston City Council,Civic Centre,Frankston,3199,VIC,Local Government,Frankston,Southern Metro
Gannawarra Shire Council,47 Victoria Street,Kerang,3579,VIC,Local Government,Gannawarra (S),Loddon-Mallee Region
Glen Eira City Council,Corner Glen Eira and Hawthorn Roads,Caulfield South,3162,VIC,Local Government,Glen Eira (C),Southern Metropolitan Region
Glenelg Shire Council,Cliff Street,Portland,3305,VIC,Local Government,Glenelg (S),Barwon South Western Region
Golden Plains Shire Council,2 Pope Street ,Bannockburn,3331,VIC,Local Government,Golden Plains (S),Grampians Region
Greater Bendigo City Council,195 Lyttleton Terrace,Bendigo,3550,VIC,Local Government,Greater Bendigo (C),Loddon-Mallee Region
Greater Dandenong City Council,397-405 Springvale Road,Springvale,3171,VIC,Local Government,Greater Dandenong (C),Southern Metropolitan Region
Greater Geelong City Council,City Hall,Geelong,3220,VIC,Local Government,Greater Geelong (C),Barwon South Western Region
Greater Shepparton City Council,Locked Bag 1000,Shepparton,3632,VIC,Local Government,Greater Shepparton (C),Hume Region
Hepburn Shire Council,76 Vincent Street,Daylesford,3460,VIC,Local Government,Hepburn (S),Grampians Region
Hindmarsh Shire Council,92 Nelson Street,Nhill,3418,VIC,Local Government,Hindmarsh (S),Grampians Region
Hobsons Bay City Council,115 Civic Parade,Altona,3018,VIC,Local Government,Hobsons Bay (C),North and West Metropolitan Region
Horsham Rural City Council,Roberts Avenue,Horsham,3402,VIC,Local Government,Horsham (RC),Grampians Region
Indigo Shire Council,101 Ford Street,Beechworth,3747,VIC,Local Government,Indigo (S),Hume Region
Kingston City Council,1230 Nepean Highway,Cheltenham,3192,VIC,Local Government,Kingston (C); Bayside (C),Southern Metropolitan Region
Knox City Council,511 Burwood Road,Wantirna South,3152,VIC,Local Government,Knox (C),Eastern Metropolitan Region
Latrobe City Council,141 Commercial Road,Morwell,3840,VIC,Local Government,Latrobe (C),Gippsland Region
Loddon Shire Council,41 High Street,Wedderburn,3518,VIC,Local Government,Loddon (S),Loddon-Mallee Region
Macedon Ranges Shire Council,129 Mollison Street,Kyneton,3444,VIC,Local Government,Macedon Ranges (S),Loddon-Mallee Region
Manningham City Council,699 Doncaster Road,Doncaster,3108,VIC,Local Government,Manningham (C),Eastern Metropolitan Region
Mansfield Shire Council,33 Highett Street,Mansfield,3722,VIC,Local Government,Yarra Ranges (S); Mansfield (S),Hume Region
Maribyrnong City Council,Cnr Hyde & Napier Streets,Footscray,3011,VIC,Local Government,Maribyrnong (C),North and West Metropolitan Region
Maroondah City Council,Braeside Avenue,Ringwood,3134,VIC,Local Government,Manningham (C); Maroondah (C),Eastern Metropolitan Region
Melbourne City Council,Town Hall,Melbourne,3000,VIC,Local Government,Melbourne (C),North and West Metropolitan Region
Mildura Rural City Council,108-116 Madden Avenue,Mildura,3502,VIC,Local Government,Mildura (RC),Loddon-Mallee Region
Mitchell Shire Council,113 High Street,Broadford,3658,VIC,Local Government,Mitchell (S),Hume Region
Moira Shire Council,44 Station Street,Cobram,3636,VIC,Local Government,Moira (S),Hume Region
Monash City Council,293 Springvale Road,Glen Waverley,3150,VIC,Local Government,Monash (C),Eastern Metropolitan Region
Moonee Valley City Council,9 Kellaway Avenue,Moonee Ponds,3039,VIC,Local Government,Moonee Valley (C),North and West Metropolitan Region
Moorabool Shire Council,15 Stead Street,Ballan,3342,VIC,Local Government,Moorabool (S),Grampians Region
Moreland City Council,90 Bell Street,Coburg,3058,VIC,Local Government,Moreland (C),North and West Metropolitan Region
Mornington Peninsula Shire,90 Begrove Street,Rosebud,3939,VIC,Local Government,Mornington Peninsula,Southern Metro
Mount Alexander Shire Council,25 Lyttleton Street,Castlemaine,3450,VIC,Local Government,Mount Alexander (S),Loddon-Mallee Region
Moyne Shire Council,Princes Street,Port Fairy,3284,VIC,Local Government,Moyne (S),Barwon South Western Region
Murrindindi Shire Council,28 Perkins Street,Alexandra,3714,VIC,Local Government,Murrindindi (S),Hume Region
Nillumbik Shire Council,Civic Drive,Greensborough,3088,VIC,Local Government,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Northern Grampians Shire Council,Town Hall,Stawell,3380,VIC,Local Government,Northern Grampians (S),Grampians Region
Pyrenees Shire Council,5 Lawrence Street,Beaufort,3373,VIC,Local Government,Pyrenees (S),Grampians Region
Shire of Campaspe,Cnr Hare and Heygarth Streets,Echuca,3564,VIC,Local Government,Campaspe (S),Loddon-Mallee Region
Shire of Melton,232 High Street,Melton,3337,VIC,Local Government,Wyndham (C); Melton (S),North and West Metropolitan Region
South Gippsland Shire Council,9 Smith Street,Leongatha,3953,VIC,Local Government,South Gippsland (S),Gippsland Region
Southern Grampians Shire Council,111 Brown Street,Hamilton,3300,VIC,Local Government,Southern Grampians (S),Barwon South Western Region
Strathbogie Shire Council,Corner Binney and Bury Streets,Euroa,3666,VIC,Local Government,Strathbogie (S),Hume Region
Surf Coast Shire Council,25 Grossmans Road,Torquay,3228,VIC,Local Government,Surf Coast (S),Barwon South Western Region
Swan Hill Rural City Council,45 Splatt Street,Swan Hill,3585,VIC,Local Government,Swan Hill (RC),Loddon-Mallee Region
Towong Shire Council,32 Towong Street,Tallangatta,3700,VIC,Local Government,Towong (S),Hume Region
Wangaratta Rural City Council,64-68 Ovens Street,Wangaratta,3677,VIC,Local Government,Wangaratta (RC),Hume Region
Warrnambool City Council,25 Liebig Street,Warrnambool,3280,VIC,Local Government,Warrnambool (C),Barwon South Western Region
Wellington Shire Council,70 Foster Street,Sale,3850,VIC,Local Government,Wellington (S),Gippsland Region
West Wimmera Shire Council,49 Elizabeth Street,Edenhope,3318,VIC,Local Government,West Wimmera (S),Grampians Region
Whitehorse City Council,379 - 397 Whitehorse Road,Nunawading,3131,VIC,Local Government,Whitehorse (C),Eastern Metropolitan Region
Whittlesea City Council,25 Ferres Boulevard,South Morang,3752,VIC,Local Government,Whittlesea (C),North and West Metropolitan Region
Wyndham City Council,45 Princes Highway,Werribee,3030,VIC,Local Government,Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region
Yarra Ranges Shire Council,Anderson Street,Lilydale,3140,VIC,Local Government,Yarra Ranges (S),Eastern Metropolitan Region
Yarriambiack Shire Council,34 Lyle Street,Warracknabeal,3393,VIC,Local Government,Yarriambiack (S),Grampians Region